Ring Number,Left Side Position,Right Side Position,Diameter (cm),Radius (cm),Radius^2 (cm^2),,LINEST result,,,,
1,22.28,22.2,0.08,0.04,0.0016,,0.00246843,3.41E-05,,,
2,22.3,22.15,0.15,0.075,0.005625,,,,,,
3,22.31,22.134,0.176,0.088,0.007744,,,,,,
4,22.324,22.129,0.195,0.0975,0.00950625,,Lambda,dLambda,,,
5,22.335,22.11,0.225,0.1125,0.01265625,,5.877E-05,8.126E-07,,,
6,22.35,22.1,0.25,0.125,0.015625,,,,,,
7,22.355,22.095,0.26,0.13,0.0169,,,,,,
8,22.361,22.085,0.276,0.138,0.019044,,,,,,
9,22.37,22.074,0.296,0.148,0.021904,,,,,,
10,22.379,22.066,0.313,0.1565,0.02449225,,,,,,
11,22.385,22.06,0.325,0.1625,0.02640625,,,,,,
12,22.4,22.05,0.35,0.175,0.030625,,,,,,
