Run date,2025-03-07
Run time,0.51 min.
Increments,0.02 nm
Samples,100 #
Max V,0.166 V
max/min V,4.43 - 
 
Wavelength (nm),Intensity (mV)
587.0,133.523
587.02,133.523
587.04,133.523
587.06,133.523
587.08,133.39
587.1,133.46
587.12,133.613
587.14,133.53
587.16,133.488
587.18,133.513
587.2,133.498
587.22,133.49
587.24,133.613
587.26,133.677
587.28,133.519
587.3,133.559
587.32,133.603
587.34,133.411
587.36,133.927
587.38,133.616
587.4,133.731
587.42,133.542
587.44,133.64
587.46,133.497
587.48,133.525
587.5,133.556
587.52,133.636
587.54,133.51
587.56,133.535
587.58,133.851
587.6,133.663
587.62,133.719
587.64,133.687
587.66,133.778
587.68,133.859
587.7,133.691
587.72,133.519
587.74,133.91
587.76,133.848
587.78,133.736
587.8,133.747
587.82,133.764
587.84,133.909
587.86,133.865
587.88,133.64
587.9,133.819
587.92,133.785
587.94,133.799
587.96,133.659
587.98,133.748
588.0,133.686
588.02,133.832
588.04,133.92
588.06,134.034
588.08,133.951
588.1,134.104
588.12,133.819
588.14,133.976
588.16,134.136
588.18,134.316
588.2,134.31
588.22,134.552
588.24,134.467
588.26,134.862
588.28,134.847
588.3,135.357
588.32,135.815
588.34,136.199
588.36,136.659
588.38,136.993
588.4,137.432
588.42,137.657
588.44,137.93
588.46,138.33
588.48,138.862
588.5,138.778
588.52,138.946
588.54,138.882
588.56,138.848
588.58,138.757
588.6,138.505
588.62,138.021
588.64,138.091
588.66,137.684
588.68,137.455
588.7,137.101
588.72,137.239
588.74,137.205
588.76,137.374
588.78,137.569
588.8,137.909
588.82,138.448
588.84,138.97
588.86,139.576
588.88,140.269
588.9,141.319
588.92,142.549
588.94,143.941
588.96,145.62
588.98,147.418
589.0,149.421
589.02,150.983
589.04,152.753
589.06,155.582
589.08,158.3
589.1,161.478
589.12,163.537
589.14,165.798
589.16,166.317
589.18,166.572
589.2,165.401
589.22,164.525
589.24,162.836
589.26,161.158
589.28,158.164
589.3,155.32
589.32,151.453
589.34,148.465
589.36,146.035
589.38,143.805
589.4,142.274
589.42,141.125
589.44,140.601
589.46,140.064
589.48,139.712
589.5,139.791
589.52,139.969
589.54,140.848
589.56,141.694
589.58,142.694
589.6,143.855
589.62,144.806
589.64,146.444
589.66,148.052
589.68,149.768
589.7,151.972
589.72,154.556
589.74,155.257
589.76,155.933
589.78,155.537
589.8,155.017
589.82,154.249
589.84,153.164
589.86,152.081
589.88,150.244
589.9,148.024
589.92,145.293
589.94,142.956
589.96,140.645
589.98,139.189
590.0,137.589
590.02,136.933
590.04,135.955
590.06,135.532
590.08,134.735
590.1,134.347
590.12,134.272
590.14,134.189
590.16,133.812
590.18,133.869
590.2,133.65
590.22,133.861
590.24,133.562
590.26,133.767
590.28,133.734
590.3,133.562
590.32,133.653
590.34,133.674
590.36,133.586
590.38,133.733
590.4,133.724
590.42,133.76
590.44,133.556
590.46,133.465
590.48,133.721
590.5,133.812
590.52,133.643
590.54,133.497
590.56,133.785
590.58,133.631
590.6,133.491
590.62,133.456
590.64,133.735
590.66,133.661
590.68,133.582
590.7,133.515
590.72,133.533
590.74,133.673
590.76,133.669
590.78,133.832
590.8,133.603
590.82,133.737
590.84,133.617
590.86,133.684
590.88,133.735
590.9,133.65
590.92,133.603
590.94,133.684
590.96,133.515
590.98,133.399
591.0,133.62
